bodymass
7.7
11.5
19.1
23.9
448.0
10.2
19.6
10.1
9.0
21.0
19.8
21.3
31.0
14.5
21.6
8.2
28.1
20.1
17.4
21.5
8.6
20.2
10.6
6.0
36.9
11.9
12.0
48.5
31.6
99.6
34.0
32.5
11.4
21.6
6.7
19.8
41.0
9.8
16.6
26.1
5.0
16.5
15.9
93.9
9.4
6.2
68.8
9.0
12.5
10.9
