Number,Name,Class,Pos,Ht,Wt,Hometown,High_School,PPG,RPG,APG
0,Nigel James Jr.,Fr,G,"6'0""",190,"Huntington, NY",Long island Lutheran School,13.5,2.7,3.9
1,Nash Walker,Fr,G,"6'6""",190,"Smithton, Tasmania",NBA Global Academy,NA,NA,NA
2,Chase Ross,Sr,G,"6'5""",210,"Dallas, TX",Cushing Academy,15.5,4.3,3.2
5,Tre Norman,Jr,G,"6'4""",205,"Boston, MA",Worcester Academy,2.6,1.6,0.7
6,Sheek Pearson,Fr,F,"6'11""",205,"St. Charles, MO",John Burroughs School,NA,NA,NA
8,Joshua Clark,So,F,"7'1""",240,"Virginia Beach, VA",Clements HS,1.9,2.6,0
9,Damarius Owens,So,F,"6'7""",205,"Rochester, NY",Western Reserve Academy,3.6,2.4,0.6
10,Adrien Stevens,Fr,G,"6'4""",215,"Potomac, MD",Bullis School,5.7,2.2,1.1
12,Ben Gold,Sr,F,"6'11""",235,"Wellington, New Zealand",NBA Global Academy,8.3,6.4,0.7
13,Royce Parham,So,F,"6'8""",230,"Pittsburgh, PA",Western Reserve Academy,10,4.7,0.8
18,Caedin Hamilton,Jr,F,"6'9""",245,"Santa Maria, CA",St. Joseph,4.1,3.6,0.7
21,Ian Miletic,Fr,F,"6'7""",200,"Arlington Heights, IL",Rolling Meadows HS,NA,NA,NA
22,Sean Jones,Sr,G,"5'10""",185,"Columbus, OH",Lincoln HS,6.2,1.4,3.9
35,Michael Phillips II,Fr,F,"6'6""",200,"Rolesville, NC",GRACE Christian School,2.4,1.4,0.1
40,Casey O'Malley,Sr,G,"6'3""",200,"Omaha, NE",Creighton Prep,0,0,0.5
41,Jonah Lucas,Sr,G,"6'1""",180,"West Lafayette, IN",Harrison HS,0,0.5,0
42,Braeden Brenn,So,F,"6'8""",210,"Appleton, WI",St. Mary Catholic HS,1,0,0
